indice,resumen_humano,resumen_ia
0,"Doce meses después de la moción de censura, sus protagonistas, que entonces dudaron, ven claro que fue un acierto","Hace un año, una moción de censura disparó a Sánchez a La Moncloa, hundió a Rajoy y reordenó por completo la política española."
1,Los Reyes presiden este sábado el desfile de las Fuerzas Armadas,"Sevilla acoge el desfile de las Fuerzas Armadas, presidido por los Reyes, con homenaje a los militares fallecidos en misiones exteriores."
2,"La tradicional receta de Senegal se creó en la ciudad de Saint Louis en el siglo XIX y uniría el pescado local con el arroz de la antigua Indochina, la cebolla europea y el tomate de América importado por los colonos franceses. Se va a abrir un proceso ante la UNESCO para que sea declarado Patrimonio Cultural Inmaterial","Senegal aspira a que el ceebu jën, su plato nacional de pescado con arroz, sea Patrimonio Inmaterial de la Unesco."
3,"‘Bohemian Rhapsody’ y ‘Rocketman’ prefiguran otro olimpo para las figuras del rock: los que tienen película y los que no. En España, Fernando León prepara una serie sobre Sabina","Los biopics musicales se han convertido en fenómeno: mientras Rocketman promete mostrar sin tapujos a Elton John, en España triunfan las series sobre Luis Miguel y Sabina."
4,Amadou Diaw es una persona clave en el desarrollo educativo de Senegal en el último cuarto de siglo y uno de los principales mecenas culturales de Saint Louis,"Amadou Diaw impulsa desde Saint Louis un ambicioso renacimiento cultural para proyectar África al mundo, con la educación y la fotografía como ejes."
5,El hijo jinete de la fallecida duquesa arremete contra su hermano Carlos y abre interrogantes sobre la situación financiera de la saga,Cayetano Martínez de Irujo reaviva las tensiones en la Casa de Alba al denunciar que su hermano Carlos lo dejó sin sueldo ni funciones tras la muerte de su madre.
6,Dicen que lo quiere el pueblo. ¿Qué pueblo? Así llaman hoy a esa parte de la ciudadanía dispuesta a obedecer sin rechistar a quienes le mandan desobedecer las leyes,"El artículo critica que se invoque la reconciliación para blanquear a agresores y golpistas, y rechaza que víctimas e infractores deban equipararse."
7,Cuando has sido un personaje público muchas cosas propias de esa vida pública se quedan adheridas. Es difícil enfrentarse al día sin secretarias ni camareros,"Juan Carlos I anuncia su retirada de la vida pública mientras la polémica, la tauromaquia y la agenda social copan un fin de semana de páginas cruzadas."
8,"En política no se trata de calcular lo que vas a ganar sino de tomar buenas decisiones, y ya ganarás poder real","La formación de gobiernos tras las elecciones se asemeja a una partida de póker: pactos, faroles y estrategias decidirán quién gana la timba política."
9,Las reformas más urgentes exigen un Gobierno sustentado por una mayoría,"El CIS refleja que más que una coalición concreta, los españoles exigen pactos estables y un Gobierno capaz de impulsar reformas y presupuestos."
10,"Los partidos tienen que alcanzar antes del día 11 un pacto para la Mesa de la Cámara, que avanzará el que luego firmen para gobernar la Comunidad","Madrid negocia a contrarreloj la presidencia de la Asamblea, pieza clave que puede decidir los pactos de gobierno en la Comunidad y el Ayuntamiento."
11,"La Red está plagada de citas y textos falsificados atribuidos a poetas, filósofos o escritores. Es una peligrosa epidemia para estudiantes y políticos y también para el futuro de la cultura y la democracia",Internet multiplica las citas falsas y la desinformación: solo libros e instituciones fiables permiten distinguir el saber de la tontería.
12,Las preguntas de mi yo del 2003 sonaban tan ilusionadas que de mi boca salió una mentira piadosa,"Un hombre recibe una llamada de su yo del pasado y, tras mentirle sobre la política, cuelga cuando pregunta si España ha vuelto a ganar Eurovisión."
13,Viñeta de El Roto del 1 de junio de 2019,Corrado Tedeschi protagoniza una historia de pasión teatral que GEOX utiliza para reivindicar una vida intensa y con estilo.
14,"Bienvenidos al ‘colonialismo tóxico’: hábitos que en Occidente suscitan críticas, como la adicción tecnológica o el tabaquismo, se expanden alegremente por los países en vías de desarrollo, donde el consumo masivo es visto como un imperativo de progreso","La élite tecnológica rechaza pantallas para sus hijos, pero empuja esa digitalización y otros riesgos tóxicos a los países pobres: puro fariseísmo 2.0."
15,El ascenso del grupo ecologista debe propiciar un amplio acuerdo para luchar contra el cambio climático y acelerar la transición energética,Los Verdes irrumpen como cuarta fuerza en el Parlamento Europeo y se perfilan como clave para impulsar la transición ecológica y frenar a la extrema derecha.
16,"Sin rigor y respeto a sus protocolos, el periodismo se convierte en una forma institucionalizada de cotilleo","El periodismo humaniza, pero cuando convierte a personas en símbolos sin contexto, corre el riesgo de alimentar la demagogia y la instrumentalización."
17,Este mecanismo crea Gobiernos inestables que dirigen el país hasta que convierten en inevitable la convocatoria de elecciones generales,"La moción de censura constructiva de 2018 no dio estabilidad: dejó un Gobierno débil, sin mayoría, dependiente del decreto-ley y abocado a elecciones."
18,Parece que las lecciones de la Historia con mayúsculas se han olvidado por parte de muchos o sencillamente se desprecian,"La extrema derecha avanza con fuerza en Europa, alimentada por crisis, inmigración y desmemoria histórica, y amenaza con ensombrecer el proyecto común."
19,La diversa obra de la pionera fotógrafa estadounidense llega a la Fundación Mapfre,"La Fundación Mapfre exhibe 184 fotos de Berenice Abbott, pionera que retrató Nueva York, la ciencia y la modernidad con una libertad radical."
